id,text,Task A,Task B
5001,@user_abcdefg @user_abc Quasi quasi è meglio femminiello!,1,"Il termine ""femminiello"" in contesti offensivi o denigratori può essere usato come insulto omotransfobico nei confronti di persone LGBTQIA+, in particolare persone transgender o effeminate. L'espressione ""Quasi quasi è meglio femminiello!"" ha un tono denigratorio e suggerisce una preferenza sprezzante verso questa identità, configurando odio omotransfobico."
5002,"@user_abcdefgh Sotto quel tweet, c'è un ammasso di ritardati ipocondriaci psicolabili che dovrebbero essere rinchiusi per sempre in un centro psichiatrico Hanno rotto il cazzo per due anni e ora non bisogna giudicare le loro fragilità mentali Andassero tutti a fare i culo, branco di ritardati",0,
5003,@user_a brava Mara come sempre puntatona.. Sei la zia di tutti noi gay che tanto ti amiamo. Grazie. Commovente. Teocoli e ritorno di Roberta Capua che dovrebbe rimanere in Italy e non. Tornare in Florida. ...cervelli in fuga purtroppo accade troppo. Spesso ora Mara riposati,0,
5004,copio i gay cagatemi !!! se vi chiedessi di descrivermi con una parola quale parola usereste,1,"Il tweet contiene odio omotransfobico perché l’espressione “cago i gay” è offensiva e denigratoria nei confronti delle persone gay, esprimendo disprezzo e pregiudizio."
5005,io: è bono eh papà: ma non eri frocia te 🤡🤡🤡,1,"Il tweet utilizza il termine ""frocia"" in modo dispregiativo e derisorio, accompagnato da emoji che accentuano il tono offensivo e denigratorio verso una persona presumibilmente LGBTQIA+. Questo costituisce odio omotransfobico."
5006,"RT @user_abc ma guardatelo bene a sto horodetskyy, pres. ass. cristiani ukraini in Italia ... sembra che abbia la faccia di un femmenello",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femmenello"" in modo dispregiativo per descrivere una persona, associando l'aspetto fisico a un insulto basato su stereotipi di genere e orientamento sessuale."
5007,RT @user_abcdef @user_abcdefg Un femminiello (con tutto il rispetto per i femminielli che valgono 1000 volte Pollon),0,
5008,"Pensavo che tra gli adolescenti gay morti ammazzati,gli adolescenti gay infelici, gli adolescenti gay che scopano a destra e manca, gli adolescenti gay cute e pucciosi che ti fanno dire ""adorabile"" Elio Perlman e CMBYN restano la più bella e libera rappresentazione di un",0,
5009,@user_abcdefghi Vabbè.... Io ti ho detto la mia... Per quelle due cagne schifose... Succhiacazzi e svuota palle....,0,
5010,harry styles sei un rotto in culo,0,
5011,"Per dischi da salvare Il primo album country gay della storia - Ovvero l’unico pezzo del sito di Internazionale, fuori dalla rubrica di Dan Savage, in cui lèggerete la parola “succhiacazzi” 🙄 [URL]",0,
5012,"Quindi Barella regolarmente in campo nell'allenamento. Per chi godeva sperando si fosse rotto, ieri come oggi e come domani, l'unica cosa rotta rimane il vostro culo. Cosa potete farci? [URL]",0,
5013,Mila e Onestini chi si somiglia si piglia tutte e due insieme non fanno un neurone funzionante ma perché non li mandano fuori a calci nel culo che non dovrebbero neanche stare in finale questi poveracci #LaPupaEilSecchioneShow,0,
5014,@user_ @user_abc In effetti Zelensky ha davvero rotto le palle nel voler trascinare nella sua guerra tutto il mondo. Se ne vada a quel paese con Draghi che deve stare attento che se zelensky si ferma di colpo la sua lingua gli va due metri su per il culo.,0,
5015,@user_abcdefgh Infatti hai più cazzo di me travione....,0,
5016,"@user_abcdefgh ma che poi lesbica slur ma che cazzo, pero frocia non lo è nella loro testa magari",1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e dispregiativi come ""lesbica slur"" e ""frocia"" in modo denigratorio e sarcastico, esprimendo un giudizio negativo verso persone LGBTQIA+."
5017,@user_abc @user_abcdefghij Anche il coglione di Speranza...ma poi è passato a LEU con Bersani ... pensa un po'.. è pure femminiello [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo e offensivo, associandolo a un insulto (""coglione"") e denigrando la persona citata. L'uso del termine in questo contesto ha una connotazione negativa e stereotipata verso l'identità di genere o l'espressione di genere, configurando un contenuto omotransfobico."
5018,guardare scene gay con i propri genitori omofobi is a second hand embarassment,0,
5019,@user_abcdefg Fare il buliccio con il culo degli altri,0,
5020,@user_abcd Ringraziamo signor Ascione travione❤️,0,
5021,Ecco… torna dal tuo amichetto busone [URL],0,
5022,devo chiaramenti rivedere free perchè i mias i miei nuotatori gay,0,
5023,"Però loro non danno fastidio, ragazzi che si divertono a disturbare e sporcare un condominio. Spero che si caghino tutti addosso.",0,
5024,"@user_abcdefgh al di là delle motivazioni, che non sono quelle economiche, non sono già esistiti i castrati e i femminielli? (intendo dire: non hanno inventato nemmeno questo, pure questo c'è già stato nella storia)",0,
5025,"@user_abcdefghij Ma perché non ve ne andate tutti a casa . Voi avete rotto i coglioni , e incapaci noi di mandarvi a quel paese . Volete la guerra VI VOGLIO TUTTI IN PRIMA FILA INCOMINCIANDO DA MATTARELLA DRAGHI E QUEI LECCA CULO CHE VENGONO DOPO .",0,
5026,@user_abcdef Che poi sembra che se cambia il colore del 50% delle strisce della maglia di Dybala non si possono masturbare per il femminiello ste subumane,1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e denigratori come ""femminiello"" e ""subumane"" in un contesto che deride e disprezza persone presumibilmente LGBTQIA+, esprimendo un chiaro atteggiamento di disprezzo e pregiudizio."
5027,La musica negra e la musica frocia [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""frocia"" in modo dispregiativo per descrivere un tipo di musica, associando un giudizio negativo all'identità o espressione di genere sessuale, esprimendo quindi un pregiudizio e derisione verso le persone LGBTQIA+."
5028,"@user_ab Oddio! 😱 a casa mia abbiamo praticamente il festival del pride tra gadgets e vestiti e adesso mi vuoi dire che sono frocia e non l'ho mai saputo? Anzi, che siamo una famiglia di froci!! E mo chi lo dice a mio marito?? 🤣🤣🤣",0,
5029,@user_abcdefg @user_abcdefgh Se qualcosa si è rotto la licenzi senza trattare di merda un ragazzo che non centra un cazzo! Ma io so cosa si è rotto: che Giuliano li ha mandati giustamente a fare in culo e Veronica non serve più a garantire la presenza del fratello!,0,
5030,"Mio cognato entra in casa e va da mia madre: ""Auguri, buona festa della mamma. Godetevela che è una delle ultime, perché tutte questi movimenti attivisti di cui vostra figlia è fieramente parte vogliono toglierla da mezzo per rispetto dei figli dei gay"". [URL]",1,"Il tweet contiene odio omotransfobico perché presenta i movimenti attivisti LGBTQIA+ come una minaccia che vuole ""togliere di mezzo"" la festa della mamma, insinuando un intento negativo e denigratorio verso le persone gay e le loro famiglie."
5031,@user_abcdefg A me basta che ci caghino gli autori. E direi che lo fanno egregiamente [URL],0,
5032,"@user_abc @user_abcd Sì Igor se vinci stasera te la danno la Champions di Manchester, sicuramente rotto in culo di merda",0,
5033,Lezione sui femminielli napoletani io sto VIVENDO,0,
5034,"@user_abcde Sai cosa aggiungo ( perchè mi sono rotto il cazzo ): un paese dove va tutto a puttane la gente perde tempo con la Franchi anzichè prendere a calci in culo sti 4 figli di puttana che continuano a massacrare il paese, gli Italiani hanno quello che meritano.",0,
5035,@user_abcdef Lassaperde fighetto non è roba per femminielli! [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in modo dispregiativo e denigratorio, associandolo a un insulto (""fighetto"") e suggerendo che qualcosa non sia adatto a persone percepite come effeminate o LGBTQIA+."
5036,@user_ab ma valuta di andare a fare in culo. BASTA. AVETE ROTTO IL CAZZO.,0,
5037,Questo ragazzo domani diventerà un femminiello! [URL],1,"Il tweet utilizza il termine ""femminiello"" in un contesto che può risultare denigratorio o stereotipante nei confronti di una persona presumibilmente transgender o non conforme al genere. L'espressione ""diventerà un femminiello"" può essere interpretata come un giudizio negativo o derisorio, configurando odio omotransfobico."
5038,@user_abcdef succede che lo si piglia in culo,0,
5039,"@user_abcdefghij Io avrei firmato per il pari, invece gli abbiamo rotto il culo, erano anni che non li battevamo. Francamente della differenza reti non mi interessa nulla, se non entreremo in europa andrei a ricercare le cause in altre partite. Per ora penso solo a godere.",0,
5040,chuck sta stagione se la piglia solo in culo and im living for it,0,
5041,@user_abcdefgh Ma perché sto coglione di Pregliasco non lo facciamo esiliare da qualche parte dove la smette di rompere i coglioni al prossimo??? Basta ha letteralmente rotto i coglioni…in autunno se ne vada a fare in culo da qualche altra parte,0,
5042,"La gonzeria che parla di vigoria sproporzionata di #Skriniar dopo lo strike di Giroud su Sanchez e i reiterati falli vigliakki da rosso(su Barella,Torreira,Vidal )di #GomiTheo hernandez,è esilarante. In un paese normale il femminiello platinato sarebbe squalificato ogni 3 partite [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello platinato"" in modo dispregiativo e denigratorio, associandolo a un insulto e a una critica negativa. L'espressione è usata per deridere una persona presumibilmente LGBTQIA+, configurando un contenuto di odio omotransfobico."
5043,@user_abcdef peccato che ne Zelensky nè Putin lo caghino,0,
