id,text,label,explanation
5001,@user_abcdefg @user_abc Quasi quasi è meglio femminiello!,0,
5002,"@user_abcdefgh Sotto quel tweet, c'è un ammasso di ritardati ipocondriaci psicolabili che dovrebbero essere rinchiusi per sempre in un centro psichiatrico Hanno rotto il cazzo per due anni e ora non bisogna giudicare le loro fragilità mentali Andassero tutti a fare i culo, branco di ritardati",0,
5003,@user_a brava Mara come sempre puntatona.. Sei la zia di tutti noi gay che tanto ti amiamo. Grazie. Commovente. Teocoli e ritorno di Roberta Capua che dovrebbe rimanere in Italy e non. Tornare in Florida. ...cervelli in fuga purtroppo accade troppo. Spesso ora Mara riposati,0,
5004,copio i gay cagatemi !!! se vi chiedessi di descrivermi con una parola quale parola usereste,0,
5005,io: è bono eh papà: ma non eri frocia te 🤡🤡🤡,0,
5006,"RT @user_abc ma guardatelo bene a sto horodetskyy, pres. ass. cristiani ukraini in Italia ... sembra che abbia la faccia di un femmenello",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femmenello"" in modo dispregiativo per descrivere l'aspetto di una persona, insinuando un'associazione negativa tra l'identità di genere e la sua credibilità o posizione."
5007,RT @user_abcdef @user_abcdefg Un femminiello (con tutto il rispetto per i femminielli che valgono 1000 volte Pollon),0,
5008,"Pensavo che tra gli adolescenti gay morti ammazzati,gli adolescenti gay infelici, gli adolescenti gay che scopano a destra e manca, gli adolescenti gay cute e pucciosi che ti fanno dire ""adorabile"" Elio Perlman e CMBYN restano la più bella e libera rappresentazione di un",0,
5009,@user_abcdefghi Vabbè.... Io ti ho detto la mia... Per quelle due cagne schifose... Succhiacazzi e svuota palle....,0,
5010,harry styles sei un rotto in culo,0,
5011,"Per dischi da salvare Il primo album country gay della storia - Ovvero l’unico pezzo del sito di Internazionale, fuori dalla rubrica di Dan Savage, in cui lèggerete la parola “succhiacazzi” 🙄 [URL]",0,
5012,"Quindi Barella regolarmente in campo nell'allenamento. Per chi godeva sperando si fosse rotto, ieri come oggi e come domani, l'unica cosa rotta rimane il vostro culo. Cosa potete farci? [URL]",0,
5013,Mila e Onestini chi si somiglia si piglia tutte e due insieme non fanno un neurone funzionante ma perché non li mandano fuori a calci nel culo che non dovrebbero neanche stare in finale questi poveracci #LaPupaEilSecchioneShow,0,
